msk_id,genome,phylum,class,order,family,genus,species,strain,bp,GC,fn,type,label
DFI.5.5,Alistipes_putredinis_DFI.5.5,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,DFI_5_5,2458158,53.5,NA,Biobank,DFI.5.5
DFI.3.10,Alistipes_shahii_DFI.3.10,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,DFI_3_10,3718244,57,NA,Biobank,DFI.3.10
DFI.6.6,Alistipes_shahii_DFI.6.6,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,DFI_6_6,3789119,57.5,NA,Biobank,DFI.6.6
DFI.6.12,Bacteroides_caccae_DFI.6.12,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae,DFI_6_12,5491395,42.5,NA,Biobank,DFI.6.12
DFI.5.60,Bacteroides_cellulosilyticus_DFI.5.60,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides cellulosilyticus,DFI_5_60,6946258,42.5,NA,Biobank,DFI.5.60
DFI.9.15,Bacteroides_cellulosilyticus_DFI.9.15,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides cellulosilyticus,DFI_9_15,6923323,43,NA,Biobank,DFI.9.15
DFI.5.9,Bacteroides_faecis_DFI.5.9,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides faecis,DFI_5_9,6920090,42.5,NA,Biobank,DFI.5.9
DFI.6.73,Bacteroides_finegoldii_DFI.6.73,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,DFI_6_73,5186489,43,NA,Biobank,DFI.6.73
MSK.10.5,Bacteroides_fragilis_MSK.10.5,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,MSK_10_5,5100293,43,NA,Biobank,MSK.10.5
MSK.13.23,Bacteroides_fragilis_MSK.13.23,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,MSK_13_23,4931551,43.5,NA,Biobank,MSK.13.23
DFI.5.8,Bacteroides_nordii_DFI.5.8,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides nordii,DFI_5_8,5384369,40.5,NA,Biobank,DFI.5.8
DFI.9.47,Bacteroides_nordii_DFI.9.47,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides nordii,DFI_9_47,5565118,40.5,NA,Biobank,DFI.9.47
MSK.22.29,Bacteroides_ovatus_MSK.22.29,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,MSK_22_29,6453840,42,NA,Biobank,MSK.22.29
MSK.17.76,Bacteroides_ovatus_MSK.17.76,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,MSK_17_76,6735198,42,NA,Biobank,MSK.17.76
MSK.14.55,Bacteroides_stercoris_MSK.14.55,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,MSK_14_55,3363571,46,NA,Biobank,MSK.14.55
MSK.17.12,Bacteroides_stercoris_MSK.17.12,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,MSK_17_12,4187309,45.5,NA,Biobank,MSK.17.12
MSK.18.2,Bacteroides_thetaiotaomicron_MSK.18.2,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,MSK_18_2,6345572,43,NA,Biobank,MSK.18.2
DFI.3.57,Bacteroides_uniformis_DFI.3.57,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,DFI_3_57,4942867,46,NA,Biobank,DFI.3.57
MSK.17.15,Bacteroides_uniformis_MSK.17.15,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,MSK_17_15,4531263,46,NA,Biobank,MSK.17.15
DFI.5.11,Bacteroides_xylanisolvens_DFI.5.11,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,DFI_5_11,6509450,42,NA,Biobank,DFI.5.11
MSK.17.2,Bacteroides_xylanisolvens_MSK.17.2,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,MSK_17_2,6652462,42,NA,Biobank,MSK.17.2
MSK.19.24,Bacteroides_xylanisolvens_MSK.19.24,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,MSK_19_24,6159371,42,NA,Biobank,MSK.19.24
DFI.9.33,Butyricimonas_paravirosa_DFI.9.33,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,Butyricimonas paravirosa,DFI_9_33,5038870,43.5,NA,Biobank,DFI.9.33
DFI.6.9,Butyricimonas_synergistica_DFI.6.9,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,Butyricimonas synergistica,DFI_6_9,5466288,44.5,NA,Biobank,DFI.6.9
DFI.9.51,Odoribacter_splanchnicus_DFI.9.51,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,Odoribacter splanchnicus,DFI_9_51,4483669,43.5,NA,Biobank,DFI.9.51
DFI.4.160,Parabacteroides_distasonis_DFI.4.160,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,DFI_4_160,5689844,45,NA,Biobank,DFI.4.160
DFI.6.54,Parabacteroides_distasonis_DFI.6.54,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,DFI_6_54,5062375,45,NA,Biobank,DFI.6.54
MSK.22.22,Parabacteroides_distasonis_MSK.22.22,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,MSK_22_22,5042968,45,NA,Biobank,MSK.22.22
DFI.3.86,Parabacteroides_johnsonii_DFI.3.86,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides johnsonii,DFI_3_86,4630539,45,NA,Biobank,DFI.3.86
MSK.9.14,Parabacteroides_merdae_MSK.9.14,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae,MSK_9_14,5060818,45.5,NA,Biobank,MSK.9.14
DFI.5.24,Phocaeicola_dorei_DFI.5.24,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,DFI_5_24,5524909,42,NA,Biobank,DFI.5.24
MSK.20.40,Phocaeicola_massiliensis_MSK.20.40,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola massiliensis,MSK_20_40,4399990,43,NA,Biobank,MSK.20.40
DFI.5.25,Phocaeicola_vulgatus_DFI.5.25,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,DFI_5_25,5568381,42.5,NA,Biobank,DFI.5.25
MSK.10.8,Phocaeicola_vulgatus_MSK.10.8,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,MSK_10_8,5135405,42,NA,Biobank,MSK.10.8
MSK.6.33,Phocaeicola_vulgatus_MSK.6.33,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,MSK_6_33,4837999,42,NA,Biobank,MSK.6.33
DFI.7.71,Hoylesella_buccalis_DFI.7.71,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Hoylesella,Hoylesella buccalis,DFI_7_71,3152030,45.5,NA,Biobank,DFI.7.71
MSK.10.30,Segatella_copri_MSK.10.30,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Segatella,Segatella copri,MSK_10_30,3581005,45,NA,Biobank,MSK.10.30
MSK.21.61,Segatella_copri_MSK.21.61,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Segatella,Segatella copri,MSK_21_61,3762693,45,NA,Biobank,MSK.21.61
MSK.21.28,Segatella_copri_MSK.21.28,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Segatella,Segatella copri,MSK_21_28,3806865,45,NA,Biobank,MSK.21.28
MSK.21.44,Segatella_sinica_MSK.21.44,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Segatella,Segatella sinica,MSK_21_44,4205061,46,NA,Biobank,MSK.21.44
MSK.21.56,Segatella_brusvicensis_MSK.21.56,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Segatella,Segatella brusvicensis,MSK_21_56,3501268,45.5,NA,Biobank,MSK.21.56
MSK.21.64,Segatella_brasiliensis_MSK.21.64,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Segatella,Segatella brasiliensis,MSK_21_64,4058048,44.5,NA,Biobank,MSK.21.64
MSK.21.66,Segatella_copri_MSK.21.66,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Segatella,Segatella copri,MSK_21_66,4115854,45,NA,Biobank,MSK.21.66
MSK.21.95,Segatella_copri_MSK.21.95,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Segatella,Segatella copri,MSK_21_95,3884802,45,NA,Biobank,MSK.21.95
